file_name,extension,ID,x_start[px]_df1,x_start[px]_df2,y_start[px]_df1,y_start[px]_df2,x_end[px]_df1,x_end[px]_df2,y_end[px]_df1,y_end[px]_df2,ra_start[deg]_df1,ra_start[deg]_df2,dec_start[deg]_df1,dec_start[deg]_df2,ra_end[deg]_df1,ra_end[deg]_df2,dec_end[deg]_df1,dec_end[deg]_df2,JD_start[UTC]_df1,JD_start[UTC]_df2,JD_end[UTC]_df1,JD_end[UTC]_df2,norad_number_df1,norad_number_df2,angle_offset[deg]_df1,angle_offset[deg]_df2,pixel_offset[px]_df1,pixel_offset[px]_df2,range[m]_df1,range[m]_df2,phase_angle[deg]_df1,phase_angle[deg]_df2,ang_vel[deg/s]_df1,ang_vel[deg/s]_df2
OMEGA.2022-01-02T03:19:53.631.astred.cal.fits,23,1,1740.0,1728.0,1879.0,1884.1,2096.0,2096.0,1901.0,1921.6,105.1974651412622,105.1942748,16.484894015597092,16.4800438,105.2194624293318,105.2170302,16.486217863840462,16.4822277,59581.13882149896,2459581.638821496,59581.138881219085,2459581.638875701,26880.0,26880.0,,2.39,,79.0,,37570857.0,,6.99,,0.004682
OMEGA.2022-01-02T03:19:53.631.astred.cal.fits,24,2,48.0,48.0,1907.0,1889.8,2096.0,2096.0,2027.0,2049.7,105.22520414603656,105.222714,16.486470166793534,16.4803329,105.3517342987873,105.3493514,16.49373096967874,16.4895346,59581.13889679685,2459581.638870127,59581.13924024487,2459581.6392141,26880.0,26880.0,,1.03,,90.1,,37571179.0,,7.01,,0.004682
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,1,1,2096.0,2096.0,2145.8,2145.8,48.0,48.0,192.2,192.2,172.27208780208616,172.2637106,-44.59368034869706,-44.5945997,172.10048149711525,172.0918144,-44.708620948961645,-44.7094794,59581.26664358191,2459581.766643582,59581.26665562298,2459581.766655623,1616.0,1616.0,,0.59,,161.9,,2396612.0,,92.64,,0.1625
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,2,3,2096.0,2096.0,4100.0,4100.0,48.0,48.0,2178.1,2178.1,172.45082164941914,172.4424154,-44.47870848001352,-44.4794508,172.27987408509173,172.2712204,-44.591901964551816,-44.592721,59581.26663134992,2459581.76663135,59581.26664311299,2459581.766643113,1616.0,1616.0,,0.15,,181.5,,2398496.0,,92.69,,0.1623
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,7,11,2096.0,2096.0,1665.4,1665.4,320.0,320.0,0.0,0.0,172.62908792879853,172.6207669,-44.35866408691472,-44.3598575,172.4816135548843,172.4729457,-44.45722611242259,-44.4582595,59581.26661856193,2459581.766618562,59581.266628935,2459581.766628935,1616.0,1616.0,,0.15,,162.0,,2400662.0,,92.74,,0.162
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,8,12,2096.0,2096.0,3651.3,3651.3,48.0,48.0,1697.7,1697.7,172.80602796743858,172.7983944,-44.2408884485618,-44.2422642,172.63647767951878,172.6285671,-44.3566012552719,-44.3579558,59581.26660605194,2459581.766606052,59581.26661837101,2459581.766618371,1616.0,1616.0,,0.66,,183.2,,2402696.0,,92.79,,0.1618
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,25,4,2096.0,2096.0,1605.2,1605.2,496.0,496.0,100.0,100.0,172.98254236686992,172.9751456,-44.12215158242823,-44.1237464,172.8506545497404,172.8430628,-44.21152069664674,-44.2131071,59581.26659354195,2459581.766593542,59581.26660308102,2459581.766603081,1616.0,1616.0,,0.29,,169.8,,2404853.0,,92.85,,0.1615
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,26,5,2096.0,2096.0,3591.2,3591.2,48.0,48.0,1637.5,1637.5,173.15832973775645,173.1511069,-44.00389130036248,-44.0056097,172.99040489901935,172.9826554,-44.12028788724072,-44.121821,59581.26658103196,2459581.766581032,59581.26659335103,2459581.766593351,1616.0,1616.0,,0.7,,185.4,,2406843.0,,92.89,,0.1613
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,27,6,624.0,624.0,4200.0,4200.0,48.0,48.0,3623.4,3623.4,173.2134361147426,173.2061658,-43.96758797790394,-43.969334,173.16631889144776,173.1589255,-44.00198670100003,-44.0036719,59581.26657713996,2459581.76657714,59581.26658084197,2459581.766580842,1616.0,1616.0,,2.1,,194.2,,2408092.0,,92.93,,0.1612
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,31,8,2096.0,2096.0,1092.7,1092.7,1024.0,1024.0,100.0,100.0,173.3339323572112,173.3267032,-43.88652364291821,-43.8885923,173.24636527015494,173.2389562,-43.945881254555935,-43.9478122,59581.26656852197,2459581.766568522,59581.26657500397,2459581.766575004,1616.0,1616.0,,0.12,,188.9,,2409292.0,,92.95,,0.1611
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,32,10,2096.0,2096.0,3078.7,3078.7,48.0,48.0,1157.0,1157.0,173.50866145565325,173.5013384,-43.76780046180031,-43.7699291,173.34180117062385,173.3342366,-43.882842888004014,-43.8847449,59581.26655601198,2459581.766556012,59581.26656805398,2459581.766568054,1616.0,1616.0,,0.28,,199.2,,2411067.0,,93.0,,0.1609
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,9,8,560.0,560.0,4200.0,4200.0,2096.0,2096.0,3431.0,3431.0,172.14459705882837,172.1372297,-43.954766184369454,-43.9556459,172.2706779226461,172.2633059,-44.000886639506696,-44.0018926,59581.27399954712,2459581.773999547,59581.27400797419,2459581.774007974,25772.0,25772.0,,0.56,,114.1,,2403892.0,,92.32,,0.1408
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,10,1,48.0,48.0,3367.2,3367.2,2096.0,2096.0,2341.9,2341.9,172.2782238591795,172.2706895,-44.00465448644581,-44.0057099,172.44668197571212,172.4391205,-44.065847139605154,-44.0671423,59581.27400844311,2459581.774008443,59581.27401965018,2459581.77401965,25772.0,25772.0,,0.56,,110.3,,2406485.0,,92.44,,0.1406
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,11,2,48.0,48.0,2278.1,2278.1,2096.0,2096.0,1220.8,1220.8,172.4546168673227,172.4468538,-44.06969588688993,-44.0709493,172.62343297485447,172.6156514,-44.13263759772786,-44.1340228,59581.274020397104,2459581.774020397,59581.274031604175,2459581.774031604,25772.0,25772.0,,0.16,,116.4,,2409679.0,,92.58,,0.1403
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,12,4,48.0,48.0,1157.0,1157.0,2096.0,2096.0,100.0,100.0,172.63110760220093,172.623405,-44.13637100495923,-44.137818,172.80026003198378,172.7925841,-44.19906452874472,-44.200617,59581.274032351095,2459581.774032351,59581.274043558165,2459581.774043558,25772.0,25772.0,,0.16,,136.8,,2412889.0,,92.72,,0.14
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,22,5,48.0,48.0,3010.9,3010.9,2096.0,2096.0,1985.7,1985.7,172.985407160053,172.9772867,-44.26611096100226,-44.2675913,173.15528347081838,173.1472021,-44.32642545625791,-44.3279814,59581.27405598108,2459581.774055981,59581.27406746615,2459581.774067466,25772.0,25772.0,,0.53,,119.5,,2419352.0,,93.01,,0.1394
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,23,6,48.0,48.0,1889.8,1889.8,2096.0,2096.0,864.6,864.6,173.16334097675718,173.1551098,-44.33214710301692,-44.3336391,173.3338306658922,173.325395,-44.39196623023989,-44.3937635,59581.27406793507,2459581.774067935,59581.27407942014,2459581.77407942,25772.0,25772.0,,0.53,,140.4,,2422613.0,,93.15,,0.139
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,24,7,48.0,48.0,800.8,800.8,1648.0,1648.0,0.0,0.0,173.34164442335958,173.3330622,-44.39578836142644,-44.3975111,173.475103596355,173.466351,-44.44224091123534,-44.4442849,59581.27407988906,2459581.774079889,59581.27408887213,2459581.774088872,25772.0,25772.0,,0.53,,136.5,,2425761.0,,93.28,,0.1387
OMEGA.2022-01-03T00:33:56.321.fits,28,1,1472.0,1472.0,3581.6,3581.6,2096.0,2096.0,3591.2,3591.2,14.267313128825476,14.267343,1.1415208625757989,1.1415533,14.304312180547472,14.304342,1.1420837308967504,1.1421107,59582.02357066097,2459582.523570661,59582.02366045909,2459582.523660459,26038.0,26038.0,,0.12,,228.1,,36847105.0,,88.71,,0.004768
OMEGA.2022-01-03T01:11:55.387.fits,24,1,1536.0,1536.0,4100.0,4100.0,2096.0,2096.0,3202.9,3202.9,34.11586491627548,34.1158966,-20.97070713702108,-20.9706776,34.15160959593128,34.1516413,-21.02378203981017,-21.0237539,59582.05262671923,2459582.552626719,59582.052627639845,2459582.55262764,45787.0,45787.0,,0.19,,780.2,,572869.0,,80.53,,0.7213
OMEGA.2022-01-03T01:11:55.387.fits,27,2,1120.0,1120.0,4200.0,4200.0,2096.0,2096.0,2630.2,2630.2,33.95302735902979,33.953059,-20.725491314612604,-20.7254618,34.015142084993506,34.0151737,-20.81842206179445,-20.8183914,59582.05262199277,2459582.552621993,59582.05262374785,2459582.552623748,45787.0,45787.0,,0.09,,789.3,,573382.0,,80.54,,0.7202
OMEGA.2022-01-03T01:11:55.387.fits,28,3,48.0,48.0,2470.3,2470.3,1520.0,1520.0,100.0,100.0,34.02100303546477,34.0210347,-20.82788784838434,-20.8278576,34.11484054008775,34.1148722,-20.96816091833248,-20.9681313,59582.05262393877,2459582.552623939,59582.052626527846,2459582.552626528,45787.0,45787.0,,0.06,,786.0,,573094.0,,80.53,,0.7208
OMEGA.2022-01-03T01:11:55.387.fits,30,4,496.0,496.0,4200.0,4200.0,2096.0,2096.0,1637.2,1637.2,33.77734404033701,33.7773757,-20.46128630294228,-20.4612568,33.878854989809184,33.8788866,-20.613088973079176,-20.6130565,59582.05261698877,2459582.552616989,59582.05261985585,2459582.552619856,45787.0,45787.0,,0.19,,790.9,,573876.0,,80.55,,0.719
OMEGA.2022-01-03T01:18:01.318.fits,19,1,1360.0,1360.0,4100.0,4100.0,48.0,48.0,256.2,256.2,33.97389007774866,33.9739225,-21.22708889243377,-21.22706,33.89086817935192,33.8909007,-21.45511545282726,-21.4550837,59582.05503974296,2459582.555039743,59582.05504566897,2459582.555045669,2920.0,2920.0,,0.01,,137.1,,897913.0,,80.81,,0.479
