file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ang_vel[deg/s]
OMEGA.2022-01-22T03:12:31.027.fits,16,2,60.11,1641.71,2089.69,1740.89,0.004619
OMEGA.2022-01-22T03:12:31.027.fits,29,3,51.41,1748.09,687.66,1779.04,0.004619
OMEGA.2022-01-22T04:54:02.313.fits,31,1,54.83,4039.31,2080.25,2294.99,0.1422
OMEGA.2022-01-22T04:54:02.313.fits,32,2,60.62,2190.55,2002.48,522.38,0.1419
OMEGA.2022-01-22T03:10:45.887.fits,13,1,51.45,1329.82,2086.16,1426.41,0.004619
OMEGA.2022-01-03T07:32:33.192.fits,2,1,59.8,3459.2,1773.42,48.47,0.23
OMEGA.2022-01-03T07:32:33.192.fits,5,4,60.89,3233.33,1677.8,33.66,0.2308
OMEGA.2022-01-03T02:20:08.139.fits,11,1,1596.31,4194.66,2086.61,2146.53,0.05752
OMEGA.2022-01-03T02:20:08.139.fits,12,2,51.96,1697.41,432.83,112.52,0.05736
OMEGA.2022-01-03T02:20:08.139.fits,15,3,534.3,4194.93,1499.85,132.08,0.05781
OMEGA.2022-01-03T02:20:08.139.fits,4,5,1522.39,4068.16,2089.99,1705.38,0.0569
OMEGA.2022-01-03T02:20:08.139.fits,8,6,451.48,4086.27,1428.21,7.59,0.0572
OMEGA.2022-01-03T08:01:32.026.fits,13,1,1956.28,4184.35,2089.4,3436.1,0.3884
OMEGA.2022-01-03T08:01:32.026.fits,14,2,54.9,2830.54,543.71,124.33,0.3879
OMEGA.2022-01-03T08:01:32.026.fits,3,3,57.27,3949.68,772.31,14.11,0.385
OMEGA.2022-01-03T08:01:32.026.fits,6,4,1379.24,4022.32,2087.51,101.79,0.3861
OMEGA.2022-01-03T01:18:01.318.fits,19,1,1349.28,4056.1,58.98,301.63,0.479
OMEGA.2022-01-03T01:18:01.318.fits,23,2,2084.35,1748.45,1505.55,63.07,0.4791
OMEGA.2022-01-03T01:18:01.318.fits,24,3,744.88,4072.99,64.39,2096.88,0.4791
OMEGA.2022-01-03T01:18:01.318.fits,28,4,2086.39,3969.85,770.94,107.73,0.4792
OMEGA.2022-01-03T01:11:55.387.fits,24,1,1553.38,4086.21,2087.71,3217.36,0.7213
OMEGA.2022-01-03T01:11:55.387.fits,27,2,1133.2,4183.22,2084.45,2640.99,0.7202
OMEGA.2022-01-03T01:11:55.387.fits,28,3,56.25,2452.28,1505.49,115.15,0.7208
OMEGA.2022-01-03T01:11:55.387.fits,30,4,516.9,4186.08,2085.08,1640.32,0.719
