file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ra_start[deg],dec_start[deg],ra_end[deg],dec_end[deg],JD_start[UTC],JD_end[UTC],norad_number,angle_offset[deg],pixel_offset[px],range[m],phase_angle[deg],ang_vel[deg/s]
OMEGA.2022-01-17T01:24:19.995.fits,12,2,48.0,3046.9,784.0,100.0,44.855037643332096,-16.292197505299143,44.90042114516671,-16.466929912918985,59596.0600856049,59596.06009097397,116.0,,,,,
OMEGA.2022-01-17T01:24:19.995.fits,15,3,784.0,4200.0,1808.0,100.0,44.76856669095476,-15.95930384986695,44.83151416755545,-16.202418367957907,59596.060075596906,59596.06008291198,116.0,,,,,
OMEGA.2022-01-17T01:24:19.995.fits,17,4,48.0,3010.9,800.0,0.0,44.98722264143509,-16.79841784947936,45.03383730127234,-16.97690695234129,59596.06010089489,59596.06010626396,116.0,,,,,
OMEGA.2022-01-17T01:24:19.995.fits,19,5,1056.0,0.0,2096.0,1825.5,45.31512129044742,-16.97664725387507,45.37936227619728,-16.868315993323588,59596.06093989778,59596.06094359886,10410.0,,,,,
OMEGA.2022-01-17T01:24:19.995.fits,20,6,48.0,1953.9,1264.0,4100.0,45.38504568258325,-16.860693234132835,45.46005736073471,-16.733308188323296,59596.06094378978,59596.060948046856,10410.0,,,,,
OMEGA.2022-01-17T01:24:19.995.fits,24,7,1472.0,0.0,2096.0,1088.8,45.47287948279283,-16.711995830454608,45.51132673668387,-16.64735455829489,59596.060948793776,59596.06095082685,10410.0,,,,,
OMEGA.2022-01-17T01:24:19.995.fits,4,8,1920.0,4100.0,2096.0,3427.1,44.970630819524736,-16.733850596313623,44.98152573891601,-16.773743705944142,59596.06009894889,59596.060100147966,116.0,,,,,
OMEGA.2022-01-17T01:24:19.995.fits,8,9,800.0,4100.0,1824.0,0.0,44.90140919208884,-16.469479607834828,44.96468997932358,-16.712566804435177,59596.060090886895,59596.06009820197,116.0,,,,,
OMEGA.2022-01-19T02:20:26.865.fits,28,1,336.0,4200.0,48.0,100.0,34.03897727368017,-20.725300437656376,34.02138808000344,-20.968409894969486,59598.10019686818,59598.100210576784,21103.0,,,,,
OMEGA.2022-01-19T02:20:26.865.fits,32,2,592.0,4200.0,352.0,100.0,34.05442115778585,-20.46080417254601,34.03993017429153,-20.70389667214315,59598.10018185619,59598.1001955648,21103.0,,,,,
OMEGA.2022-01-19T04:58:39.792.fits,28,9,48.0,3655.5,2096.0,3687.3,105.22339661064996,16.824666808499202,105.35024049429695,16.82626781641729,59598.20994027518,59598.20998734422,44115.0,,,,,
OMEGA.2022-01-19T04:27:33.607.fits,16,2,48.0,4200.0,2096.0,3431.0,172.63628235319055,-43.697144809551766,172.80420790411893,-43.7428622929135,59598.18794058682,59598.18795179389,25650.0,,,,,
OMEGA.2022-01-19T04:27:33.607.fits,29,4,48.0,3367.2,2096.0,2630.2,172.81175759550675,-43.74664455982024,172.97995232770313,-43.79020832172416,59598.187952262815,59598.187963469885,25650.0,,,,,
OMEGA.2022-01-19T04:27:33.607.fits,30,5,48.0,2566.4,2096.0,1829.4,172.98743706801287,-43.79397916861573,173.1558928684084,-43.8372849991879,59598.187963938806,59598.18797486788,25650.0,,,,,
