file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ang_vel[deg/s]
OMEGA.2022-01-16T01:11:56.269.fits,4,7,48.0,0.0,2096.0,2081.8,0.7205
OMEGA.2022-01-16T01:05:51.698.fits,4,1,1840.0,4100.0,1760.0,0.0,0.3302
OMEGA.2022-01-16T01:05:51.698.fits,8,2,1904.0,3776.7,1840.0,0.0,0.3299
OMEGA.2022-01-25T05:20:54.592.fits,17,1,48.0,288.3,1424.0,0.0,0.004759
OMEGA.2022-01-25T05:20:54.592.fits,3,2,1088.0,977.2,2096.0,800.5,0.004758
OMEGA.2022-01-25T05:20:54.592.fits,4,3,48.0,736.7,2096.0,320.1,0.004758
OMEGA.2022-01-25T05:14:50.021.fits,1,1,48.0,2242.2,2096.0,1857.6,0.004758
OMEGA.2022-01-25T03:07:35.539.fits,13,3,48.0,3719.5,2096.0,3719.3,0.0316
OMEGA.2022-01-25T03:07:35.539.fits,14,4,48.0,3687.5,2096.0,3719.3,0.0316
OMEGA.2022-01-25T03:07:35.539.fits,15,5,48.0,3687.5,2096.0,3719.3,0.0316
OMEGA.2022-01-25T03:07:35.539.fits,16,6,48.0,3687.5,2096.0,3687.2,0.0316
OMEGA.2022-01-25T03:07:35.539.fits,29,8,48.0,3655.5,2096.0,3687.2,0.0316
OMEGA.2022-01-25T03:07:35.539.fits,30,10,48.0,3655.5,2096.0,3687.2,0.03159
OMEGA.2022-01-25T03:07:35.539.fits,31,11,48.0,3655.5,672.0,3633.2,0.03159
OMEGA.2022-01-25T04:21:27.262.fits,6,9,48.0,2498.4,2096.0,2466.2,0.00344
OMEGA.2022-01-25T08:14:19.571.fits,10,1,48.0,1861.7,2096.0,1381.0,0.004698
OMEGA.2022-01-25T08:14:19.571.fits,11,2,48.0,1317.2,2096.0,836.5,0.004698
OMEGA.2022-01-25T08:14:19.571.fits,12,3,48.0,772.7,1168.0,501.9,0.004698
OMEGA.2022-01-25T08:14:19.571.fits,9,4,48.0,2406.3,2096.0,1925.5,0.004698
OMEGA.2022-01-25T03:47:54.466.fits,7,1,48.0,3971.9,2096.0,3459.1,0.006441
OMEGA.2022-01-25T08:21:04.122.fits,22,4,48.0,3331.2,2096.0,2818.5,0.004699
OMEGA.2022-01-25T08:21:04.122.fits,23,6,48.0,2786.7,2096.0,2274.0,0.004699
OMEGA.2022-01-25T08:21:04.122.fits,24,8,48.0,2242.2,2096.0,1729.4,0.004699
