file_name,IRSKY_TEMP,TEMP,WINDSP,PRES,FWHM,RHUM,TAU0
OMEGA.2022-01-13T02:28:39.808.astred.cal.fits,-64.1,14.91,4.38,746.4,0.59,28.0,0.00817
OMEGA.2022-01-13T06:35:33.321.astred.cal.fits,-67.6,14.79,1.27,745.2,0.62,29.0,0.015583
OMEGA.2022-01-08T04:30:31.115.astred.cal.fits,-80.1,13.91,4.0,745.1,0.92,16.0,0.009559
OMEGA.2022-01-08T02:47:50.119.astred.cal.fits,-81.9,14.38,4.63,745.1,1.22,13.0,0.00525
OMEGA.2022-01-08T07:33:36.496.astred.cal.fits,-81.1,13.89,4.9,744.2,0.65,16.0,0.006487
OMEGA.2022-01-08T08:08:42.272.astred.cal.fits,-81.4,14.2,7.05,744.1,0.68,24.0,0.006117
OMEGA.2022-01-08T07:39:40.827.astred.cal.fits,-81.1,13.79,5.45,744.2,0.69,18.0,0.005606
OMEGA.2022-01-08T02:53:55.149.astred.cal.fits,-81.9,14.55,3.73,745.2,1.17,14.0,0.0072
OMEGA.2022-01-08T04:24:26.654.astred.cal.fits,-80.1,13.82,4.15,745.0,0.75,16.0,0.00628
OMEGA.2022-01-08T03:57:58.470.astred.cal.fits,-79.7,14.16,4.72,745.2,0.47,14.0,0.013718
OMEGA.2022-01-11T06:44:58.104.fits,-72.4,12.09,9.75,744.7,0.54,24.0,0.006476
OMEGA.2022-01-11T08:06:27.669.fits,-63.7,11.59,10.57,744.4,0.7,26.0,0.004
OMEGA.2022-01-11T07:04:39.488.fits,-71.8,11.72,8.28,744.6,0.74,26.0,0.005198
OMEGA.2022-01-28T05:56:36.597.fits,-92.8,15.71,1.43,743.8,0.81,9.0,0.016888
OMEGA.2022-01-28T05:37:58.824.fits,-92.8,16.09,0.53,743.9,0.56,5.0,0.014723
OMEGA.2022-01-28T04:04:03.968.fits,-92.9,15.7,1.98,744.5,0.49,6.0,0.026309
OMEGA.2022-01-28T00:48:51.656.fits,-92.8,15.53,5.75,744.1,0.55,4.0,0.0063
OMEGA.2022-01-28T06:25:57.762.fits,-92.6,15.74,1.05,743.6,0.66,8.0,0.018
OMEGA.2022-01-28T08:16:44.071.fits,-93.3,14.34,1.35,743.0,0.53,11.0,0.01562
OMEGA.2022-01-28T03:04:55.278.fits,-91.8,15.68,2.45,744.7,0.5,7.0,0.017379
OMEGA.2022-01-28T01:14:00.010.fits,-92.8,15.61,6.33,744.2,0.84,3.0,0.006936
OMEGA.2022-01-28T01:32:13.553.fits,-92.7,15.58,5.33,744.4,0.74,5.0,0.010039
OMEGA.2022-01-28T01:58:56.878.fits,-92.5,15.25,4.83,744.5,0.74,8.0,0.0079
OMEGA.2022-01-28T03:30:36.453.fits,-92.5,15.8,2.0,744.6,0.55,6.0,0.020772
OMEGA.2022-01-28T04:54:27.987.fits,-92.7,15.88,1.2,744.2,0.66,7.0,0.029414
OMEGA.2022-01-28T03:06:39.858.fits,-91.8,15.82,2.5,744.7,0.54,6.0,0.019837
OMEGA.2022-01-06T02:13:19.028.astred.cal.fits,-93.6,13.4,5.08,743.0,0.57,14.0,0.008158
OMEGA.2022-01-06T01:17:50.898.astred.cal.fits,-93.6,13.88,5.8,742.7,0.67,11.0,0.007976
OMEGA.2022-01-10T01:23:14.692.fits,-72.0,13.18,6.35,745.6,0.46,8.0,0.007659
OMEGA.2022-01-10T05:04:04.280.fits,-74.0,12.39,7.88,745.5,0.53,9.0,0.007017
OMEGA.2022-01-10T01:41:28.076.fits,-75.5,12.75,5.72,745.7,0.61,12.0,0.006887
OMEGA.2022-01-10T05:53:40.078.fits,-63.4,12.05,9.2,745.2,0.83,9.0,0.004179
OMEGA.2022-01-10T05:10:08.961.fits,-71.4,12.37,8.3,745.4,0.58,9.0,0.007795
OMEGA.2022-01-23T01:42:39.745.fits,-95.4,14.34,6.83,743.8,0.93,7.0,0.005269
OMEGA.2022-01-23T02:50:43.036.fits,-95.9,14.54,4.22,744.1,0.65,8.0,0.007818
OMEGA.2022-01-23T03:54:53.197.fits,-94.5,13.83,2.17,744.0,0.83,10.0,0.011701
OMEGA.2022-01-23T04:41:56.914.fits,-95.6,13.71,0.38,743.8,0.58,8.0,0.01896
OMEGA.2022-01-23T02:52:27.756.fits,-96.0,14.62,4.1,744.1,0.66,8.0,0.010052
OMEGA.2022-01-23T01:20:05.381.fits,-95.6,14.16,7.18,743.8,1.33,8.0,0.002823
OMEGA.2022-01-23T02:54:13.447.fits,-96.0,14.71,3.9,744.1,0.66,7.0,0.008641
OMEGA.2022-01-21T04:39:06.782.astred.cal.fits,-88.9,15.79,6.83,743.8,0.79,24.0,0.005006
OMEGA.2022-01-21T01:18:05.558.astred.cal.fits,-87.7,15.22,9.5,743.8,0.96,30.0,0.003031
OMEGA.2022-01-21T02:11:37.457.astred.cal.fits,-87.5,15.09,8.73,744.1,1.06,30.0,0.003704
OMEGA.2022-01-21T01:12:01.117.astred.cal.fits,-87.7,15.32,10.3,743.7,0.85,30.0,0.002829
OMEGA.2022-01-21T03:35:28.591.astred.cal.fits,-88.5,15.66,9.6,744.0,1.07,26.0,0.004284
OMEGA.2022-01-21T01:59:28.415.astred.cal.fits,-87.4,15.17,8.2,744.2,1.15,31.0,0.003784
OMEGA.2022-01-21T03:29:24.130.astred.cal.fits,-88.5,15.64,9.88,744.0,0.95,26.0,0.003519
OMEGA.2022-01-21T02:35:05.950.astred.cal.fits,-87.8,15.18,9.85,744.1,1.12,29.0,0.002928
OMEGA.2022-01-05T05:55:51.673.fits,-92.6,14.13,3.4,742.8,0.3,14.0,0.017948
OMEGA.2022-01-05T03:49:22.562.fits,-95.0,14.09,3.6,743.7,0.5,8.0,0.013505
OMEGA.2022-01-05T03:21:06.797.fits,-94.3,14.45,1.83,743.8,0.54,9.0,0.016656
OMEGA.2022-01-05T06:36:26.320.fits,-92.9,13.62,2.85,742.6,0.61,14.0,0.015354
OMEGA.2022-01-05T01:09:06.355.fits,-93.1,14.32,1.3,743.5,0.57,9.0,0.018269
OMEGA.2022-01-05T06:08:00.955.fits,-92.6,14.02,3.4,742.7,0.4,14.0,0.019994
OMEGA.2022-01-05T06:01:56.454.fits,-92.6,14.13,2.95,742.8,0.36,14.0,0.018321
OMEGA.2022-01-05T06:56:39.953.fits,-92.6,13.61,4.25,742.5,0.53,14.0,0.013382
OMEGA.2022-01-05T06:14:06.166.fits,-93.0,13.89,2.42,742.8,0.35,14.0,0.017652
OMEGA.2022-01-05T01:03:01.884.fits,-93.0,14.26,1.27,743.5,0.59,6.0,0.019253
OMEGA.2022-01-30T03:25:27.748.fits,-93.9,13.87,0.75,744.5,0.45,10.0,0.019858
OMEGA.2022-01-30T05:26:15.209.fits,-95.4,12.23,0.0,744.0,0.56,12.0,0.02235
OMEGA.2022-01-30T02:58:58.254.fits,-93.9,12.67,1.73,744.6,0.59,16.0,0.020409
OMEGA.2022-01-30T01:49:15.032.fits,-94.0,13.3,4.63,744.4,0.81,16.0,0.009351
OMEGA.2022-01-30T03:11:11.456.fits,-94.0,13.31,1.27,744.6,0.67,13.0,0.023489
OMEGA.2022-01-30T03:00:43.994.fits,-93.9,12.79,1.73,744.6,0.64,15.0,0.02543
OMEGA.2022-01-30T03:09:26.986.fits,-94.0,13.28,1.38,744.5,0.67,13.0,0.027554
OMEGA.2022-01-30T02:51:26.213.fits,-93.9,12.56,2.2,744.6,0.52,16.0,0.023291
OMEGA.2022-01-30T01:10:33.406.fits,-94.6,13.32,3.65,744.2,0.64,17.0,0.010571
OMEGA.2022-01-30T03:02:28.995.fits,-94.0,12.93,1.48,744.6,0.55,14.0,0.02714
OMEGA.2022-01-30T02:32:47.590.fits,-93.9,12.55,2.55,744.6,0.52,18.0,0.017851
OMEGA.2022-01-30T01:31:01.669.fits,-94.8,13.32,4.38,744.3,0.48,18.0,0.013819
OMEGA.2022-01-30T02:31:02.889.fits,-93.9,12.66,2.92,744.6,0.51,18.0,0.017646
OMEGA.2022-01-02T06:30:52.304.astred.cal.fits,-90.2,15.1,10.23,743.3,0.94,15.0,0.003141
OMEGA.2022-01-02T00:59:16.697.astred.cal.fits,-84.3,16.07,3.42,744.3,0.71,23.0,0.008348
OMEGA.2022-01-02T03:19:53.631.astred.cal.fits,-87.9,15.77,6.68,744.5,1.14,24.0,0.003651
OMEGA.2022-01-02T06:18:43.121.astred.cal.fits,-90.0,15.09,10.55,743.4,0.58,15.0,0.004887
OMEGA.2022-01-24T03:12:49.061.fits,-88.6,14.82,3.38,743.8,0.39,16.0,0.007286
OMEGA.2022-01-24T07:31:26.344.fits,-92.5,11.49,9.18,742.4,0.93,8.0,0.003766
OMEGA.2022-01-24T07:29:41.434.fits,-92.5,11.43,9.0,742.4,0.98,10.0,0.003962
OMEGA.2022-01-24T03:18:02.741.fits,-88.6,14.83,3.78,743.8,0.37,14.0,0.007488
OMEGA.2022-01-24T03:16:18.292.fits,-88.6,14.82,3.58,743.7,0.38,14.0,0.007531
OMEGA.2022-01-20T03:18:25.909.astred.cal.fits,-87.2,16.91,2.38,745.6,0.86,31.0,0.007075
OMEGA.2022-01-20T01:08:39.847.astred.cal.fits,-87.7,15.24,3.9,745.2,1.01,35.0,0.004327
OMEGA.2022-01-20T02:07:43.147.astred.cal.fits,-87.3,16.05,4.6,745.7,0.76,32.0,0.007654
OMEGA.2022-01-20T07:53:33.825.astred.cal.fits,-88.9,16.91,0.6,744.0,0.61,26.0,0.009743
OMEGA.2022-01-20T01:30:58.461.astred.cal.fits,-87.0,16.12,5.6,745.4,1.07,32.0,0.004876
OMEGA.2022-01-20T02:01:38.556.astred.cal.fits,-86.9,16.04,4.38,745.7,0.76,32.0,0.007185
OMEGA.2022-01-20T02:13:49.178.astred.cal.fits,-87.3,15.89,3.63,745.8,0.9,34.0,0.006362
OMEGA.2022-01-20T01:55:34.105.astred.cal.fits,-86.9,16.14,4.63,745.5,0.86,32.0,0.005584
OMEGA.2022-01-31T02:07:24.815.fits,-94.2,11.69,3.5,744.1,0.47,24.0,0.015123
OMEGA.2022-01-31T02:36:18.699.fits,-94.1,11.68,2.53,744.1,0.66,23.0,0.012312
OMEGA.2022-01-31T02:50:15.302.fits,-94.0,11.8,2.4,744.1,0.88,20.0,0.010781
OMEGA.2022-01-31T02:58:34.613.fits,-94.0,11.78,1.88,744.2,0.8,20.0,0.020603
OMEGA.2022-01-31T01:38:57.439.fits,-94.2,12.05,3.85,743.9,0.5,18.0,0.012553
