file_name,IRSKY_TEMP,TEMP,WINDSP,PRES,PRES,FWHM,FWHM,RHUM,TAU0
OMEGA.2022-01-03T02:20:08.139.fits,-91.4,15.38,6.33,745.5,745.5,0.93,1.09,12.0,0.005316
OMEGA.2022-01-03T04:26:59.650.fits,-92.5,15.89,5.15,745.5,745.5,0.86,0.86,10.0,0.006344
OMEGA.2022-01-03T04:26:59.650.fits,-92.5,15.89,5.15,745.5,745.5,0.86,0.86,10.0,0.006344
OMEGA.2022-01-03T04:26:59.650.fits,-92.5,15.89,5.15,745.5,745.5,0.86,0.86,10.0,0.006344
OMEGA.2022-01-03T04:26:59.650.fits,-92.5,15.89,5.15,745.5,745.5,0.86,0.86,10.0,0.006344
OMEGA.2022-01-03T07:26:28.711.fits,-95.4,14.47,5.5,744.6,744.6,1.3,1.44,6.0,0.004169
OMEGA.2022-01-03T07:26:28.711.fits,-95.4,14.47,5.5,744.6,744.6,1.3,1.44,6.0,0.004169
OMEGA.2022-01-03T07:26:28.711.fits,-95.4,14.47,5.5,744.6,744.6,1.3,1.44,6.0,0.004169
OMEGA.2022-01-03T07:26:28.711.fits,-95.4,14.47,5.5,744.6,744.6,1.3,1.44,6.0,0.004169
OMEGA.2022-01-03T07:26:28.711.fits,-95.4,14.47,5.5,744.6,744.6,1.3,1.44,6.0,0.004169
OMEGA.2022-01-03T07:26:28.711.fits,-95.4,14.47,5.5,744.6,744.6,1.3,1.44,6.0,0.004169
OMEGA.2022-01-03T07:26:28.711.fits,-95.4,14.47,5.5,744.6,744.6,1.3,1.44,6.0,0.004169
OMEGA.2022-01-03T07:26:28.711.fits,-95.4,14.47,5.5,744.6,744.6,1.3,1.44,6.0,0.004169
OMEGA.2022-01-03T07:32:33.192.fits,-95.4,14.03,5.5,744.6,744.6,1.27,1.43,6.0,0.004027
OMEGA.2022-01-03T07:32:33.192.fits,-95.4,14.03,5.5,744.6,744.6,1.27,1.43,6.0,0.004027
OMEGA.2022-01-03T08:01:32.026.fits,-93.5,13.63,7.18,744.6,744.6,1.11,1.14,6.0,0.004505
OMEGA.2022-01-03T08:01:32.026.fits,-93.5,13.63,7.18,744.6,744.6,1.11,1.14,6.0,0.004505
OMEGA.2022-01-03T08:01:32.026.fits,-93.5,13.63,7.18,744.6,744.6,1.11,1.14,6.0,0.004505
OMEGA.2022-01-03T08:01:32.026.fits,-93.5,13.63,7.18,744.6,744.6,1.11,1.14,6.0,0.004505
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:11:08.716.astred.cal.fits,-92.9,15.44,1.48,745.1,745.2,0.75,0.7,8.0,0.016613
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,-92.9,15.46,1.68,745.2,745.2,0.73,0.79,9.0,0.014736
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,-92.9,15.46,1.68,745.2,745.2,0.73,0.79,9.0,0.014736
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,-92.9,15.46,1.68,745.2,745.2,0.73,0.79,9.0,0.014736
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,-92.9,15.46,1.68,745.2,745.2,0.73,0.79,9.0,0.014736
OMEGA.2022-01-04T01:17:13.178.astred.cal.fits,-92.9,15.46,1.68,745.2,745.2,0.73,0.79,9.0,0.014736
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,-91.9,15.38,2.05,745.3,745.3,0.84,0.77,9.0,0.010509
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,-91.9,15.38,2.05,745.3,745.3,0.84,0.77,9.0,0.010509
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,-91.9,15.38,2.05,745.3,745.3,0.84,0.77,9.0,0.010509
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,-91.9,15.38,2.05,745.3,745.3,0.84,0.77,9.0,0.010509
OMEGA.2022-01-04T01:49:30.183.astred.cal.fits,-91.9,15.38,2.05,745.3,745.3,0.84,0.77,9.0,0.010509
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,745.2,0.69,0.69,8.0,0.009854
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,745.2,0.69,0.69,8.0,0.009854
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,745.2,0.69,0.69,8.0,0.009854
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,745.2,0.69,0.69,8.0,0.009854
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,745.2,0.69,0.69,8.0,0.009854
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,745.2,0.69,0.69,8.0,0.009854
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,745.2,0.69,0.69,8.0,0.009854
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,745.2,0.69,0.69,8.0,0.009854
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,745.2,0.69,0.69,8.0,0.009854
OMEGA.2022-01-04T03:08:57.016.astred.cal.fits,-93.3,15.26,4.15,745.1,745.2,0.69,0.69,8.0,0.009854
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,-92.9,15.07,3.15,745.2,745.1,0.69,0.64,7.0,0.010465
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,-92.9,15.07,3.15,745.2,745.1,0.69,0.64,7.0,0.010465
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,-92.9,15.07,3.15,745.2,745.1,0.69,0.64,7.0,0.010465
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,-92.9,15.07,3.15,745.2,745.1,0.69,0.64,7.0,0.010465
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,-92.9,15.07,3.15,745.2,745.1,0.69,0.64,7.0,0.010465
OMEGA.2022-01-04T03:15:01.467.astred.cal.fits,-92.9,15.07,3.15,745.2,745.1,0.69,0.64,7.0,0.010465
